,date,link,speaker,tag,time duration,title,view
0,2006-06-27,https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,Sir Ken Robinson,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",19:24,Do schools kill creativity?,68967780
1,2020-10-23,https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email,James Veitch,"['comedy', 'curiosity', 'communication', 'humor', 'technology']", 9:48,This is what happens when you reply to spam email,63531909
2,2012-10-01,https://www.ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are,Amy Cuddy,"['body language', 'brain', 'business', 'psychology', 'self', 'success', 'science']",21:02,Your body language may shape who you are,59806926
3,2010-05-04,https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,Simon Sinek,"['TEDx', 'business', 'entrepreneur', 'leadership', 'success']",18:04,How great leaders inspire action,52923849
4,2010-12-23,https://www.ted.com/talks/brene_brown_the_power_of_vulnerability,Brené Brown,"['TEDx', 'communication', 'culture', 'depression', 'fear', 'mental health', 'psychology', 'self', 'social change']",20:19,The power of vulnerability,51289186
5,2016-03-15,https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator,Tim Urban,"['brain', 'comedy', 'decision-making', 'entertainment', 'goal-setting', 'humor', 'Internet', 'mind', 'productivity', 'online video', 'time', 'visualizations', 'work', 'writing', 'choice']",14:03,Inside the mind of a master procrastinator,46164221
6,2014-06-27,https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen,Julian Treasure,"['culture', 'sound', 'speech']", 9:58,How to speak so that people want to listen,44815753
7,2015-04-03,https://www.ted.com/talks/bill_gates_the_next_outbreak_we_re_not_ready,Bill Gates,"['disaster relief', 'disease', 'ebola', 'global issues', 'medicine', 'war']", 8:32,The next outbreak? We're not ready,38893424
8,2018-03-28,https://www.ted.com/talks/sam_berns_my_philosophy_for_a_happy_life,Sam Berns,"['life', 'happiness', 'personal growth', 'self', 'motivation']",12:45,My philosophy for a happy life,38611125
9,2015-12-23,https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness,Robert Waldinger,"['TEDx', 'aging', 'data', 'health', 'humanity', 'life', 'happiness', 'relationships', 'society', 'time', 'work-life balance', 'friendship']",12:46,What makes a good life? Lessons from the longest study on happiness,36300893
10,2013-01-16,https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,Cameron Russell,"['TEDx', 'beauty', 'culture', 'fashion', 'photography']", 9:37,"Looks aren't everything. Believe me, I'm a model.",36271411
11,2018-03-28,https://www.ted.com/talks/graham_shaw_why_people_believe_they_can_t_draw,Graham Shaw,"['arts', 'art', 'design', 'potential', 'personal growth', 'creativity', 'presentation', 'communication']",15:04,Why people believe they can't draw,33761999
12,2009-05-20,https://www.ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm,Mary Roach,"['culture', 'history', 'humor', 'science', 'sex', 'writing', 'books']",16:43,10 things you didn't know about orgasm,32319169
13,2013-07-19,https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth,Tom Thum,"['TEDx', 'creativity', 'live music', 'music', 'entertainment']",11:41,The orchestra in my mouth,31520789
14,2011-10-13,https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar,Pamela Meyer,"['culture', 'psychology', 'science', 'society']",18:50,How to spot a liar,30022587
15,2013-09-13,https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection,Apollo Robbins,"['crime', 'entertainment']", 8:47,The art of misdirection,28653895
16,2010-01-19,https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_minutes,David Blaine,"['biology', 'magic', 'medicine', 'performance']",20:19,How I held my breath for 17 minutes,27723885
17,2012-03-02,https://www.ted.com/talks/susan_cain_the_power_of_introverts,Susan Cain,"['business', 'culture', 'psychology', 'introvert']",19:04,The power of introverts,27625221
